variation,quarter,n_sessions,completion_rate,mean_session_duration_sec,median_session_duration_sec,avg_backtracks,mean_error_rate,completion_rate_qoq_abs,completion_rate_qoq_pct
Control,2017-01-01,5295,0.560377358490566,290.408679245283,193.0,0.2650943396226415,0.04151754522462981,,
Control,2017-04-01,26894,0.4868797090153287,278.5635972237687,153.0,0.30802063615781466,0.04981785549695724,-0.07349764947523735,-0.13115742162247745
Test,2017-01-01,6567,0.6447148288973384,318.82220532319394,198.0,0.4652471482889734,0.07476123429441757,,
Test,2017-04-01,30569,0.5730516830454798,314.7333899245813,162.0,0.43615527767801754,0.07170685349179877,-0.07166314585185862,-0.11115479688038932
