variation,n_sessions,n_completed,completion_rate,median_session_duration_sec,mean_session_duration_sec,avg_backtracks,n_transitions,n_backtracks,error_rate
Control,32189,16088,0.49896101479390875,160.0,280.5106534751729,0.3009645504450578,108254,9513,0.08787666044672714
Test,37136,21791,0.58571658961402,168.0,315.4559993549081,0.4412966347704548,139422,16229,0.11640200255339904
