variation,month,n_sessions,completion_rate,mean_session_duration_sec,median_session_duration_sec,avg_backtracks,mean_error_rate,completion_rate_mom_abs,completion_rate_mom_pct,completion_rate_yoy_abs,completion_rate_yoy_pct
Control,2017-03-01,5295,0.560377358490566,290.408679245283,193.0,0.2650943396226415,0.04151754522462981,,,,
Control,2017-04-01,18028,0.46548574591752007,280.10954885137005,160.0,0.2638804317741489,0.04160931104987467,-0.09489161257304596,-0.16933520088792708,,
Control,2017-05-01,5580,0.5208594449418085,270.2768128916741,141.0,0.3658012533572068,0.06195006277176944,0.0553736990242884,0.11895895741155549,,
Control,2017-06-01,3286,0.5466140297600972,284.137260856362,140.0,0.4521712723959915,0.07427244942550887,0.02575458481828874,0.049446323894858146,,
Test,2017-03-01,6567,0.6447148288973384,318.82220532319394,198.0,0.4652471482889734,0.07476123429441757,,,,
Test,2017-04-01,22202,0.5771426003325694,326.6108938924093,170.0,0.43445238416250953,0.07090807482810166,-0.06757222856476908,-0.10480948403240309,,
Test,2017-05-01,5471,0.5643600511228775,292.63647982472156,144.0,0.4586452437465766,0.07600634882266093,-0.012782549209691907,-0.022147991159076064,,
Test,2017-06-01,2896,0.5580834195105137,265.3498793519476,129.0,0.40675629093416066,0.06971625994432973,-0.006276631612363803,-0.011121679502075876,,
